CODE;LIBELLE;URL
31483;Saint-Gaudens;https://upload.wikimedia.org/wikipedia/commons/0/0b/Blason_ville_fr_Saint-Gaudens_%28Haute-Garonne%29.svg
31555;Toulouse;https://upload.wikimedia.org/wikipedia/commons/6/69/Blason_de_Toulouse.svg
32013;Auch;https://upload.wikimedia.org/wikipedia/commons/c/c3/Blason_Auch_32.svg
32107;Condom;https://upload.wikimedia.org/wikipedia/commons/a/aa/Blason_ville_fr_Condom_%28Gers%29.svg
32256;Mirande;https://upload.wikimedia.org/wikipedia/commons/b/b2/Blason_ville_fr_Mirande_%28Gers%29.svg
33058;Blaye;https://upload.wikimedia.org/wikipedia/commons/d/d9/Blason_fr_ville_Blaye_%28Gironde%29.svg
33063;Bordeaux;https://upload.wikimedia.org/wikipedia/commons/b/b2/Coat_of_arms_of_Bordeaux%2C_France.svg
33227;Langon;https://upload.wikimedia.org/wikipedia/commons/d/db/Blason_ville_fr_Langon_%28Gironde%29.svg
33240;Lesparre-Médoc;https://upload.wikimedia.org/wikipedia/commons/7/75/Blason_ville_fr_Lesparre_M%C3%A9doc%28Gironde%29.svg
33243;Libourne;https://upload.wikimedia.org/wikipedia/commons/a/a2/Blason_ville_fr_Libourne_%28Gironde%29.svg
33009;Arcachon;https://upload.wikimedia.org/wikipedia/commons/9/9c/Blason_ville_fr_Arcachon_%28Gironde%29.svg
34032;Béziers;https://upload.wikimedia.org/wikipedia/commons/c/c7/Blason_B%C3%A9ziers.svg
34142;Lodève;https://upload.wikimedia.org/wikipedia/commons/e/ea/Blason_ville_fr_Lod%C3%A8ve_%28H%C3%A9rault%29.svg
34172;Montpellier;https://upload.wikimedia.org/wikipedia/commons/b/b1/Blason_ville_fr_Montpellier.svg
35115;Fougères;https://upload.wikimedia.org/wikipedia/commons/0/0c/Blason_Foug%C3%A8res_fr.svg
35236;Redon;https://upload.wikimedia.org/wikipedia/commons/4/4f/Blason_ville_fr_Redon_%28Ille-et-Vilaine%29.svg
35238;Rennes;https://upload.wikimedia.org/wikipedia/commons/e/ee/Blason_ville_fr_Rennes_%28Ille-et-Vilaine%29.svg
35288;Saint-Malo;https://upload.wikimedia.org/wikipedia/commons/2/27/Blason_ville_fr_Saint-Malo.svg
36018;Le Blanc;https://upload.wikimedia.org/wikipedia/commons/3/3b/Blason_de_la_ville_de_Le_Blanc_%2836%29.svg
36044;Châteauroux;https://upload.wikimedia.org/wikipedia/commons/5/58/Blason_de_la_ville_de_Ch%C3%A2teauroux_%2836%29.svg
36046;La Châtre;https://upload.wikimedia.org/wikipedia/commons/5/54/Blason_de_la_ville_de_La_Ch%C3%A2tre_%2836%29.svg
36088;Issoudun;https://upload.wikimedia.org/wikipedia/commons/1/16/CoA_civ_FRA_Issoudun_ville.svg
37072;Chinon;https://upload.wikimedia.org/wikipedia/commons/4/4a/Blason_Chinon_37.svg
37261;Tours;https://upload.wikimedia.org/wikipedia/commons/a/ab/Blason_tours_37.svg
37132;Loches;https://upload.wikimedia.org/wikipedia/commons/2/2c/Blason_de_la_ville_de_Loches.svg
38185;Grenoble;https://upload.wikimedia.org/wikipedia/commons/3/35/Blason_ville_fr_Grenoble_%28Isere%29.svg
38509;La Tour-du-Pin;https://upload.wikimedia.org/wikipedia/commons/4/46/Blason_ville_fr_TourPin_%28Isere%29.png
38544;Vienne;https://upload.wikimedia.org/wikipedia/commons/0/04/Blason_de_Vienne_%28Is%C3%A8re%29_-_1887.svg
39198;Dole;https://upload.wikimedia.org/wikipedia/commons/8/82/Blason_ville_fr_Dole_%28Jura%29.svg
39300;Lons-le-Saunier;https://upload.wikimedia.org/wikipedia/commons/3/37/Blason_Lons-le-Saunier.svg
39478;Saint-Claude;https://upload.wikimedia.org/wikipedia/commons/f/ff/Blason_ville_fr_Saint-Claude_%28Jura%29.svg
40088;Dax;https://upload.wikimedia.org/wikipedia/commons/c/ce/Blason_Dax.svg
40192;Mont-de-Marsan;https://upload.wikimedia.org/wikipedia/commons/2/24/Blason_mont-de-marsan.svg
41018;Blois;https://upload.wikimedia.org/wikipedia/commons/7/71/Blason_ville_fr_Blois_%28LoirCher%29.svg
41269;Vendôme;https://upload.wikimedia.org/wikipedia/commons/f/f8/Blason_Comtes_de_Vend%C3%B4me.svg
41194;Romorantin-Lanthenay;https://upload.wikimedia.org/wikipedia/commons/3/31/Blason_ville_fr_Romorantin-Lanthenay_%28LoirCher%29.svg
42147;Montbrison;https://upload.wikimedia.org/wikipedia/commons/e/ed/Blason_ville_fr_Montbrison_%28Loire%29.svg
42187;Roanne;https://upload.wikimedia.org/wikipedia/commons/1/19/Blason_ville_fr_Roanne_%28Loire%29.svg
42218;Saint-Étienne;https://upload.wikimedia.org/wikipedia/commons/6/61/Blason_ville_fr_Saint-%C3%89tienne_%28Loire%29.svg
43040;Brioude;https://upload.wikimedia.org/wikipedia/commons/8/8c/Blason_ville_fr_Brioude_%28HauteLoire%29.svg
43157;Le Puy-en-Velay;https://upload.wikimedia.org/wikipedia/commons/d/dc/Blason_ville_fr_PuyVelay_%28HauteLoire%29.svg
43268;Yssingeaux;https://upload.wikimedia.org/wikipedia/commons/a/a8/Blason_Yssingeaux.svg
44109;Nantes;https://upload.wikimedia.org/wikipedia/commons/f/f2/Blason_Nantes.svg
